soc,r0,r1,c1,r2,c2,voc,temp,soh
1.0,0.003873751670903996,0.0035522015110405823,16900.773037245173,0.0006675350787673273,2379499.8692498575,4.054794047619048,10,1.0
0.9,0.004084973069124944,0.0034729327149290185,16479.444643150997,0.0005657579539327235,2924559.2914926363,4.037999999999999,10,1.0
0.8,0.0044435784127468845,0.004680143707964575,13699.631407071849,0.0009903415519210705,1574525.9870958405,3.939599999999999,10,1.0
0.7,0.004700520391386866,0.004465885753786266,14722.774197853629,0.0024875638488852376,551169.2296388637,3.8497999999999992,10,1.0
0.6,0.004816316100479918,0.004150656290580572,14356.68873448233,0.0009582138198725179,1563373.7274536402,3.750366666666667,10,1.0
0.5,0.0050698264457393555,0.004323142124373014,15032.408702499406,0.0009888797434651042,1409207.0057750333,3.696233333333331,10,1.0
0.4,0.005203739528651954,0.0046156676858120456,13261.911937016172,0.0016604042931034992,614681.5637811229,3.6614666666666666,10,1.0
0.3,0.005552842924503546,0.005165050890779899,13172.693739237071,0.0023657830332191416,576478.6218134066,3.632233333333334,10,1.0
0.2,0.006002032002994309,0.005784539567212521,8837.756172187765,0.002238455596014196,537380.0049785095,3.583666666666666,10,1.0
0.1,0.008468343004931557,0.009761679337459587,2697.2132581600604,0.0024738506286455446,387458.126191112,3.5203666666666673,10,1.0
0.0,0.008232077250767918,0.03456841957345144,208.5620969344999,0.005947193132501868,79393.925817733,3.4853333333333327,10,1.0
1.0,0.0024484353340493295,0.002577271047508834,18336.767747061163,0.0007129361662322766,3427602.7176516294,4.060986904761905,25,1.0
0.9,0.002466184126020374,0.0022644589569009053,18390.098502469256,0.0005452548896187221,4101995.277983057,4.041766666666666,25,1.0
0.8,0.0026908280655008536,0.002994014378981983,17463.96373459001,0.0007784760283189516,3010835.4774400895,3.9458999999999986,25,1.0
0.7,0.0026802121204071716,0.003553627550994591,20908.025216570797,0.0014007916498028222,995519.1103340625,3.8604,25,1.0
0.6,0.0028320013875464903,0.002580421768805278,20473.165737438943,0.0008864178172481337,2099662.797751939,3.7631666666666663,25,1.0
0.5,0.0028933912069545576,0.00261709719383895,20085.631875195562,0.0007075795787727518,2446687.5600922336,3.705866666666665,25,1.0
0.4,0.0030487059755697652,0.0030679637354661836,21837.478068266133,0.000873881624794066,1641955.6139569297,3.6702333333333343,25,1.0
0.3,0.003035736686179717,0.0033399659472820383,22714.16619254648,0.0013424429973021867,918479.3820242563,3.6411333333333338,25,1.0
0.2,0.0031094758180033894,0.003230070050033403,19034.66207557818,0.0010063599914103966,1802030.9855601215,3.5939999999999994,25,1.0
0.1,0.0031793257709611437,0.0035921344523209683,14060.33087257849,0.0011209615001989692,2207088.368797558,3.5394000000000005,25,1.0
0.0,0.0041111934707291084,0.00666008658656716,6281.671258792745,0.00228707222237583,1068209.6969276653,3.4778666666666656,25,1.0
1.0,0.0018708942152097095,0.0020074236153210983,21195.840720005403,0.0004535634455126204,3346052.137832106,4.065291666666666,40,1.0
0.9,0.0018622404400963925,0.0016194137504871974,22120.28726304739,0.00040705590405943476,5208302.35367046,4.043800000000001,40,1.0
0.8,0.0019813920192513013,0.002218511226328131,19807.22774385128,0.0005780247878232207,3874211.220703038,3.9478,40,1.0
0.7,0.001942563777666844,0.0029364656214016555,23611.40983809428,0.0008138544147514027,1763899.5105425427,3.8613999999999993,40,1.0
0.6,0.001988417743413076,0.0018521372568397476,29497.925350746795,0.0005594988272230411,3331039.0636933898,3.7647000000000004,40,1.0
0.5,0.0020016410992741117,0.0018985653899099343,25790.52205438859,0.00044449598689313367,3534644.9416189217,3.7076000000000002,40,1.0
0.4,0.0020413754711148292,0.0024104582543593416,27648.534293355755,0.0004986800627008382,2782055.2719664476,3.6714666666666664,40,1.0
0.3,0.0021292560742038795,0.0024820704260872573,30185.816154062908,0.000820529534052104,1588452.862607778,3.6393666666666675,40,1.0
0.2,0.002058445959465708,0.0021540509777089917,24807.162480362036,0.0008248288682196542,7220415.869066925,3.5873999999999997,40,1.0
